pubblicata_da;anno_rif;cup;cup_master;ambito_soggettivo;denominazione_stazione_appaltante;codice_fiscale;codice_natura_opera;natura_opera;tipologia_opera_incompiuta;codice_tipologia_cup;tipologia_cup;localizz_cod_istat;localizz_cod_nuts;ambito_oggettivo;titolo;descrizione;dimensione_unita_misura;dimensione_valore;settore;codice_sotto_settore;sottosettore;codice_categoria;categoria;cpv;progetto_cumulativo;importo_complessivo_intervento_aggiornato_ultimo_qe;importo_lavori_aggiornato_ultimo_qe_approvato;importo_complessivo_lavori_aggiornato_ultimo_sal;oneri_necesari_per_ultimazione_lavori;importo_oneri;perc_avanzamento;sponsorizzato;finanziamento_di_prog;costo_prog;finanziamento_assegnato;copertura_finanziaria_statale;copertura_finanziaria_regionale;copertura_finanziaria_provinciale;copertura_finanziaria_comunale;altra_copertura_finanziaria_pubblica;copertura_finanziaria_privata;comunitaria;mancanza_fondi;cause_tecniche;soprav_nuove_norme_tec_disp_legge;fallim_liq_coatta_e_conc_prev;mancato_interesse_al_compl;opera_fruibile_dalla_collettivita;possibile_uso_ridim;destinazione_uso_alternativa;sentito_demanio;destinazione_uso_opera;opera_inserita_in_infrastruttura_rete;incomp_costituisce_discont_rete;anno_decisione_attuazione;data_assegnazione_cup;data_chiusura_cup;strutture_coinvolte;struttura_unica;tipo_indirizzo;indirizzo;strumento_programmazione;descrizionestrumento_programmazione;altre_informazioni;livello_sviluppo;utilita_per_collettivita;id_trasm_elenco;lat;lon
Regione Basilicata;2016;D67E82000010001;;;Consorzio di Bonifica Vulture Alto Bradano;1167670767;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;58;AMPLIAMENTO;17076048;ITF51;Regionale;P. S. 23/776 - Lavori di ampliamento del comprensorio irriguo basso melfese in sinistra Rendina;Attrezzamento irriguo di circa Ha 1.000. Previste n. 2 vasche di accumulo dotate di impianto di sollevamento e relative condotte adduttrici e distributrici.;Mc;17.000,00;2;15;RISORSE IDRICHE;119;RETI IDRICHE RURALI;45000000-7;No;615.006.207,00;31.422.421,00;143.540.495,00;Si;78.970.121,00;3651;N;N;615.006,00;615.006,00;Si;No;No;No;No;No;No;Si;No;No;Si;No;No;Si;;;In progetto per l'opera;No;;2013;30/09/2013;;;No;;;;;;Art.4 c. 2 Lett. e);;;410.345.519.759.283;156.414.109.612.142
Regione Basilicata;2016;B73G76000000005;;;COMUNE DI VAGLIO BASILICATA;80004050763;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;17076094;ITF5;Regionale;Costruzione Antiquarium;Lavori di realizzazione locali da adibire ad Antiquarium;Mq;960;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;999;ALTRE OPERE DI EDILIZIA PUBBLICA;45212300-9;No;69.205,00;47.727,00;45.611,00;Si;400.000,00;1019;N;N;692;692;No;No;No;No;Si;No;No;Si;No;No;No;No;No;Si;;;In progetto per l'opera;Si;No;1976;26/03/2014;;;No;;;;;;Art.4 c. 2 Lett. e);;;406.717.750.454.251;159.218.544.663.713
Regione Basilicata;2016;G66J16000360002;;;COMUNE DI LAGONEGRO;229220769;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;54;COMPLETAMENTO DI RISTRUTTURAZIONE;17076039;ITF51;Regionale;completamento di ristrutturazione parco giada;rifacimento recinzioni gabbie recupero area ristorante fabbricati bar pavimentazione strada rete idrica e fognante pubblica illuminazione;Mq;1.000,00;5;12;SPORT SPETTACOLO E TEMPO LIBERO;999;ALTRE STRUTTURE RICREATIVE;45454000-4;No;680.304.916,00;680.304.916,00;40.009.649,00;No;;5881;N;A;680.305,00;480.305,00;Si;No;No;No;No;Si;No;Si;No;No;No;No;No;No;;;In progetto per l'opera;Si;Si;2016;31/03/2016;;;No;;;;;;Art.4 c. 2 Lett. g);;;401.577.036.646.682;157.766.167.476.669
Regione Basilicata;2016;X00X00000000000;;;comune di viggianello;84002150765;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;54;COMPLETAMENTO DI RISTRUTTURAZIONE;17076097;ITF51;Regionale;Lavori per l'Irrigazione di Ha 400 nelle Contrade: Scarpaleggia Gallizzi S.Ianni Madonna delle Grazie Campolerose Zarafa Piano Lo Sfano S.Onofrio Pedali Pezzo LaCorte e delle Opere a Presidio del comprensorio irriguo di Viggianello;opere di sollevamento in loc.S.Elena condotta premente vasca di accumulo condotta forzata impianto idroelettrico in lco.S.Nicola  e scarico nei comizi per la diramazione verso le quattro reti di irrigazione.;Mq;4.000.000,00;2;15;RISORSE IDRICHE;999;ALTRE OPERE PER L'UTILIZZO DELLE RISORSE IDRICHE;45330000-9;No;0;0;0;Si;4.000.000,00;0;N;N;0;0;No;Si;No;No;No;No;No;Si;Si;Si;No;No;No;Si;;;In progetto per l'opera;Si;Si;2013;###############################################################################################################################################################################################################################################################;;;No;;;;;;Art.4 c. 2 Lett. e);;;399.745.754.446.092;161.079.740.659.418
Regione Basilicata;2016;E42C04000030001;;;Consorzio Sviluppo Industriale della Provincia di Potenza;91600767;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;17076010;;Regionale;Lavori di realizzazione del raccordo ferroviario (Completamento) nell'a.i. di Baragiano;Costruzione raccordo ferroviario;Ml;973;6;39;OPERE IMPIANTI ED ATTREZZATURE PER ATTIVITA' INDUSTRIALI E L'ARTIGIANATO;999;ALTRE OPERE ED IMPIANTI PER ATTIVITA' INDUSTRIALI;45234100-7;No;265.959.779,00;202.191.016,00;10.147.085,00;No;;5019;N;N;26.596,00;26.596,00;Si;No;No;No;No;No;No;No;Si;No;No;No;No;Si;;;Alternativa per l'opera;Si;Si;2004;22/09/2011;;;No;;;;;;Art.4 c. 2 Lett. f);;;406.945.131.531.681;155.985.638.620.497
Regione Basilicata;2016;D13B05000070003;;;AZIENDA SANITARIA LOCALE DI MATERA - uoc direzione attivita' tecniche e gestione patrimonio;1178540777;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;4;RISTRUTTURAZIONE;17077014;ITF52;Regionale;RISTRUTTURAZIONE ED ADEGUAMENTO ALLE NORME DI SICUREZZA;LAVORI DI RISTRUTTURAZIONE ADEGUAMENTO FUNZIONALE IMPIANTISTICO ED ALLE NORME DI SICUREZZA 626/94 DELL'IMMOBILE EX SEDE DEL CENTRO DI MEDICINA SOCIALE PER LE MALATTIE DELL'APPARATO RESPIRATORIO DI VIA LAURA BATTISTA IN MATERA;Mq;1.030,00;5;30;SANITARIE;150;ALTRI PRESIDI SANITARI TERRITORIALI;45000000-7;No;723.039,00;5.209.115,00;46.440.694,00;Si;200.000,00;6442;N;N;72304;72304;Si;Si;No;No;No;No;No;Si;No;No;No;No;No;No;;;In progetto per l'opera;No;;2005;18/11/2010;;;No;;;;;;Art.4 c. 2 Lett. g);;;406.698.001.511.296;165.786.745.780.091
Regione Basilicata;2016;F67H01000330001;;;ALBANO DI LUCANIA;80004180768;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;3;RECUPERO;17076003;;Regionale;LAVORI DI RECUPERO E ADEGUAMENTO SISMICO EX SEDE MUNICIPALE;LAVORI DI RECUPERO E ADEGUAMENTO SISMICO COMPARTO EX SEDE MUNICIPALE AI SENSI DELLA LEGGE 219/81;Mq;2.500,00;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;998;ALTRE INFRASTRUTTURE;45454000-4;No;1.643.414,00;1.343.136,00;839.713,00;No;;6252;N;A;164.341,00;103.213,00;Si;No;No;No;No;Si;No;Si;No;No;No;No;No;No;;;In progetto per l'opera;No;;2001;26/10/2013;;;No;;;;;;Art.4 c. 2 Lett. g);;;406.024.476.415.531;160.364.111.258.389
Regione Basilicata;2016;I72B07000010001;;;Comune di tursi;82000970770;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;17077029;ITF52;Regionale;RISANAMENTO E RIQUALIFICAZIONE - INT. B - Collettore fognario in destra Pescogrosso;Collettore fognario;Ml;625;2;10;OPERE DI SMALTIMENTO REFLUI E RIFIUTI;113;RETI FOGNARIE;45231110-9;No;960.000,00;69.506.876,00;68.897.595,00;Si;41.652.863,00;6198;N;N;960;960;Si;No;No;No;No;No;No;No;Si;No;No;No;No;No;;;In progetto per l'opera;Si;No;2007;04/05/2007;;;No;;;;;;Art.4 c. 2 Lett. g);;;402.555.281.943.643;164.869.575.265.357
Regione Basilicata;2016;H71B00000190006;;;PROVINCIA DI POTENZA;80002710764;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;17076085;ITF51;Regionale;Lavori di completamento della strada Serrapotima - 4� lotto - 1� stralcio funzionale (Ponte Serrapotamo-Polivalente);Il progetto riguarda la costruzione di un tratto della strada ?Serrapotima? che svolge funzione di collegamento tra i comuni dell?alto Serrapotamo con la strada a scorrimento veloce ?Sinnica?.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
In particolare i lavori; appaltati nel 2000; sono relativi alla realizzazione del 1� stralcio funzionale del 4� lotto dei 5 previsti per il completamento dell?intera arteria. Il tronco in progetto ha origine in corrispondenza del ponte sul torrente Serrapotamo; dove era previsto l?arrivo del 3� lotto appaltato dalla locale Comunit� Montana e si estende per complessivi 1;"75 Km. sino all?abitato di Senise in corrispondenza del Polivalente scolastico.""";Ml;1.750,00;1;1;STRADALI;13;STRADE REGIONALI PROVINCIALI E COMUNALI;45233120-6;No;2.065.827,00;1.403.168,00;1.403.168,00;Si;870.000,00;6173;N;N;206.583,00;206.583,00;No;No;No;No;No;No;Si;Si;No;No;No;No;No;No;;;In progetto per l'opera;Si;Si;2000;02/10/2013;;;No;;;;;;Art.4 c. 2 Lett. g);;;401.574.711.762.388;163.090.791.448.502;;;;;;;;;;;;
Regione Basilicata;2016;G17H03000130001;;;COMUNE;83000410775;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;17077010;ITF52;Regionale;Costruzione scuola media;Costruzione scuola media;Mq;900;5;8;SOCIALI E SCOLASTICHE;86;EDILIZIA SCOLASTICA;45000000-7;No;800.000,00;800.000,00;268.062,00;Si;422.987,00;2192;N;A;37701;37701;No;Si;No;No;No;Si;No;Si;No;No;No;No;No;No;;;In progetto per l'opera;Si;No;1982;27/03/2014;;;No;;;;;;Art.4 c. 2 Lett. g);;;403.835.135.993.429;161.563.271.516.872
Regione Basilicata;2016;I16I11000160001;;;Comune di Lavello;85000470766;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;56;COMPLETAMENTO DI MANUTENZIONE ORDINARIA;17076043;ITF51;Regionale;Opere di urbanizzazione primaria in zona pals;Trattasi di area destinata ad attivit� artigianali commerciali ecc. ove insistono ml 3400 di strade con le rispettive reti di idrico/fognario metano elettrica e telecom di questi sono realizzati ml 1200 che risultano fruibili.;Ml;2.200,00;4;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;999;ALTRE INFRASTRUTTURE PER ATTREZZATURE DI AREE PRODUTTIVE;45000000-7;No;8.000.000,00;4.000.000,00;4.000.000,00;Si;4.000.000,00;50;N;A;8.000,00;4.000,00;No;Si;No;No;No;Si;No;Si;No;No;No;No;No;No;;;In progetto per l'opera;Si;Si;2011;26/03/2012;;;No;;;;;;Art.4 c. 2 Lett. g);;;410.754.728.022.783;158.393.935.397.172
Regione Basilicata;2016;H51B99000010006;;;PROVINCIA DI POTENZA;80002710764;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;17076002;ITF51;Regionale;"Lavori di costruzione della strada di collegamento Diga Acerenza - Forenza - SS 658 ""PZ/Melfi"" - 1� lotto funzionale";"Il progetto complessivo prevede la realizzazione del collegamento tra Acerenza l'area di Forenza e la S.S. n. 658 PZ/Melfi in prossimit� della localit� Possidente di Avigliano; in particolare il tratto di strada da realizzare ha origine in prossimit� della Diga di Acerenza sulla S.P. n. 6 ?Appula? e termina sulla S.P. n. 113 ?dei Boschi? in corrispondenza del viadotto sul fiume Bradano con un percorso complessivo di circa 78 Km.  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Il primo lotto funzionale di tale collegamento; appaltato nel 2000 e a tutt?oggi incompiuto; si sviluppa per un lunghezza di circa 4;"6 Km. tra la S.P. n. 113 e la strada comunale ?Rapollina?.""";Ml;4.600,00;1;1;STRADALI;13;STRADE REGIONALI PROVINCIALI E COMUNALI;45233120-6;No;3.305.324,00;1.863.370,00;1.453.780,00;Si;1.350.000,00;4524;N;N;330.532,00;330.532,00;No;No;No;No;No;No;Si;No;Si;No;No;No;No;No;;;In progetto per l'opera;Si;Si;1999;26/09/2013;;;No;;;;;;Art.4 c. 2 Lett. g);;;408.022.946.688.879;15.947.983.356.462;;;;;;;;;;;;;
Regione Basilicata;2016;H27E95000000002;;;AZIENDA SANITARIA LOCALE DI POTENZA;1722360763;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;54;COMPLETAMENTO DI RISTRUTTURAZIONE;17076098;;Regionale;Ristrutturazione ed adeguamento funzionale del Presidio di Viggiano CUP: H27E9500000002;Lavori di ristrutturazione ed adeguamento funzionale del Presidio di Viggiano;npl;12;5;30;SANITARIE;150;ALTRI PRESIDI SANITARI TERRITORIALI;45000000-7;No;129.114.225,00;129.114.225,00;802.301,00;Si;1.000.000,00;3502;N;N;129.114,00;129.114,00;Si;No;No;No;No;No;No;Si;No;No;No;No;No;No;;;In progetto per l'opera;No;;1955;27/03/2013;;;No;;;;;;Art.4 c. 2 Lett. g);;;403.554.621.384.957;159.053.373.153.494
Regione Calabria;2016;E41B99000020001;;Regionale;Comune di Vibo Valentia;302030796;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;18102047;ITF64;Regionale;Progetto di completamento Viale della Pace-Strada provinciale per Triparni con opere igienico sanitarie per risanamento zona;COMPLETAMENTO VIALE DELLA PACE - S.P. PER TRIPARNI CON OPERE IGIENICO SANITARE PER RISANAMENTO ZONA;Ml;2.200,00;1;1;STRADALI;13;STRADE REGIONALI PROVINCIALI E COMUNALI;45233120-6;No;2.504.800,00;1.378.158,00;1.109.756,00;No;;8052;N;;25.048,00;25.048,00;Si;;;;;;;;Si;;;;No;Si;;;In progetto per l'opera;Si;Si;1999;24/09/2014;;STRADE;No;;VIALE DELLA PACE - S.P. PER TRIPARNI;99;Legge 208/1998;;Art.4 c. 2 Lett. d);;3,02E+39;386.825.031.622.739;160.936.078.454.461
Regione Calabria;2016;I17B01000020006;;Regionale;Comune di Siderno;132240805;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione ultimati non sono stati collaudati nel termine previsto...;1;NUOVA REALIZZAZIONE;18080088;ITF65;Regionale;Lavori di costruzione teatro e sistemazione della piazza (lotto funzionale).;COSTRUZIONE DI UN NUOVO TEATRO COMPRESA LA PROGETTAZIONE ESECUTIVA E LA REALIZZAZIONE DELL'OPERA.;Mq;1.166,00;5;12;SPORT SPETTACOLO E TEMPO LIBERO;100;TEATRI ED ALTRE STRUTTURE PER LO SPETTACOLO;45210000-2;No;3.221.797,00;2.130.379,00;2.098.918,00;Si;3.000.000,00;4091;N;;32.218,00;32.218,00;;Si;;Si;;;;Si;No;No;No;No;Si;No;;;In progetto per l'opera;No;;2001;22/09/2014;;LAVORI COSTRUZIONE TEATRO E PIAZZA.;No;;VIA AMENDOLA;99;PRU SOVRACOMUNALE SIDERNO-LOCRI DELIBERA GIUNTA REGIONALE N.6048 DEL 11/11/98 RELATIVO AL PROGRAMMA REGIONALE DI EDILIZIA RESIDENZIALE PUBBLICA 1992/1995 EX LEGGE 179/1992.;;Art.4 c. 2 Lett. e);;1,32E+39;382.864.542.444.162;162.758.905.419.366
Regione Calabria;2016;I41B13000340002;;Regionale;COMUNE SERRA D'AIELLO;86002120789;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;18078140;ITF61;Regionale;COMPLETAMENTO CIRCUMVALLAZIONE DELL'ABITATO;COSTRUZIONE STRADA COMUNALE COMUNALE INTERNA ALL'ABITATO;Ml;600;1;1;STRADALI;13;STRADE REGIONALI PROVINCIALI E COMUNALI;;No;314.000,00;140.879,00;128.047,00;Si;300.000,00;2904;N;;314;314;;Si;;;;;;Si;Si;No;No;No;Si;No;;;In progetto per l'opera;No;;2013;10/10/2013;;COMPLETAMENTO CIRCUMVALLAZIONE DELL'ABITATO;No;;SERRATI;0;;;Art.4 c. 2 Lett. e);;8,60E+45;390.862.643.481.166;161.251.918.954.204
Regione Calabria;2016;E66E09000120001;;Nazionale;comune di san pietro di carid�;82001330800;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;7;MANUTENZIONE STRAORDINARIA;18080075;ITF65;Regionale;Adeguamento Strutturale della Scuola Elementare e Media in Localit� Don Gabriele;MESSA IN SICUREZZA;Mq;900;5;8;SOCIALI E SCOLASTICHE;86;EDILIZIA SCOLASTICA;;No;100.000,00;7.219.408,00;2.692.541,00;Si;150.000,00;1212;N;;100;100;Si;;;;;;;Si;Si;No;No;No;Si;Si;SERVIZI SOCIALI;;Alternativa per l'opera;No;;2009;17/06/2009;;SCUOLA MEDIA ELEMENTARE E MATERNA;No;;LOC. SAN GABRIELE;0;;;Art.4 c. 2 Lett. f);;8,20E+45;384.907.987.558.489;16.189.714.847.392
Regione Calabria;2016;I11B07000340005;;Regionale;Comune di Siderno;132240805;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;99;ALTRO;18080088;;Regionale;2� Stralcio Progetto Realizzazione del Rond� spartitraffico Via dei Colli Circonvallazione e messa in sicurezza  Torrente Arena;COSTRUZIONE ROND0' SPARTITRAFFICO MESSA IN SICUREZZA TORRENTE ARENA;Ml;500.000,00;2;5;DIFESA DEL SUOLO;999;ALTRE OPERE DI DIFESA DEL SUOLO;45200000-9;No;300.000,00;300.000,00;0;Si;200.000,00;0;N;;635;635;;;;;Si;;;Si;;;;;Si;Si;Necessario per la riduzione del pericolo di inondazione volti sia a mitigare il rischio idrogeologico sia ad agevolare la viabilit� veicolare.;;Alternativa per l'opera;Si;Si;2007;27/02/2008;;VIA CIRCONVALLAZIONE- VIA DEI COLLI-TORRENTE ARENA;Si;;VIA CIRCONVALLAZIONE -VIA DEI COLLI -TORRENTE ARENA;99;MUTUO CASSA DEPOSITI E PRESTITI;;Art.4 c. 2 Lett. f);;1,32E+39;382.864.542.444.162;162.758.905.419.366
Regione Calabria;2016;G29D08000040002;;Regionale;COMUNE DI ACRI (CS);388670788;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;18078003;ITF61;Regionale;Completamento Piazza Beato Angelo;SCAVI A SEZIONE OBBLIGATA REALIZZAZIONI MURI DI SOSTEGNO PAVIMENTAZIONI ESTERNE  IMPIANTI DI PUBBLICA ILLUMINAZIONE.;Mq;4.000,00;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;998;ALTRE INFRASTRUTTURE;45262321-7;No;416.219.231,00;3.281.000,00;198.119.231,00;No;;6038;N;;1.680,00;1.680,00;;Si;;;;;;Si;No;No;No;No;No;No;;;In progetto per l'opera;No;;2008;31/07/2008;;RIFUNZIONALIZZAZIONE E SISTEMAZIONE DELLA PIAZZA BEATO ANGELO;No;;PIAZZA BEATO ANGELO -ACRI -CS;99;POR Calabria 2000-20006- Misura 5.1b)-P.S.U. Citta di Acri.;;Art.4 c. 2 Lett. g);;3,89E+39;394.944.370.666.619;164.284.657.097.438
Regione Calabria;2016;D65I05000070002;;Regionale;Comune di Catanzaro;129520797;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione avviati risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;18079023;ITF63;Regionale;LAVORI DI REALIZZAZIONE DEI COLLEGAMENTI MECCANIZZATI TRA L'AREA DELLA STAZIONE CATANZARO SALA IL PARCO E L'AREA DELL'EX GASOMETRO CON ASCENSORI INCLINATI DA 12 PERSONE;LAVORI DEI COLLEGAMENTI MECCANIZZATI TRA L'AREA DELLA STAZIONE CZ SALA IL PARCO E L'AREA DELL'EX GASOMETRO CON ASCENSORI INCLINATI PER 12 PERSONE - COMPLETAMENTO;Mc;33.506.273,00;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;999;ALTRE OPERE DI EDILIZIA PUBBLICA;;No;33.506.273,00;300.422.135,00;1.685.827,00;;;5612;N;;2.290,00;2.290,00;;Si;;;;;;;Si;;;;No;No;;;In progetto per l'opera;No;;2005;07/04/2012;;AREA DELLA STAZIONE CZ SALA IL PARCO E L'AREA DELL'EX GASOMETRO;No;;AREA DELLA STAZIONE CZ SALA IL PARCO E L'AREA DELL'EX GASOMETRO;99;Euro 1.304.22135 FONDI PRU -  Euro 1.700.00000 FONDI PISU;;Art.4 c. 2 Lett. g);;1,30E+39;388.899.362.670.956;166.025.303.321.291
Regione Calabria;2016;G15I08000010007;;Regionale;comune di Bagnara Calabra;80002470807;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;51;COMPLETAMENTO DI NUOVA REALIZZAZIONE;18080007;ITF65;Regionale;IMPIANTO SPORTIVO POLIFUNZIONALE IN LOCALIT� PELLEGRINA;IMPIANTO SPORTIVO POLIFUNZIONALE;ne;1;5;12;SPORT SPETTACOLO E TEMPO LIBERO;98;IMPIANTI SPORTIVI;45200000-9;No;102.880.799,00;81.471.248,00;5.702.439,00;Si;280.000,00;5209;N;;102.881,00;102.881,00;;;Si;Si;;;;;Si;;;;No;No;;;In progetto per l'opera;No;;2008;22/05/2008;;IMPIANTO SPORTIVO POLIFUNZIONALE IN LOCALIT? PELLEGRINA;No;;VIA PROVINCIALE EX SS 112 FRAZIONE DI PELLEGRINA;0;;PIANO TRIENNALE OO.PP. 2008/2010;Art.4 c. 2 Lett. g);;8,00E+45;382.814.666.560.667;158.168.561.353.367
Regione Calabria;2016;D69D05000210002;;Regionale;Comune di Catanzaro;129520797;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;18079023;ITF63;Regionale;RISTRUTTURAZIONE DELL'AREA DEL GASOMETRO DI CATANZARO SALA E SISTEMAZIONE A PARCO PUBBLICO DELLA SOTTOSTANTE VALLETTA COSTEGGIANTE LA VIA MARINCOLA PISTOIA;RISTRUTTURAZIONE DELL'AREA DEL GASOMETRO DI CATANZARO SALA E SISTEMAZIONE A PARCO PUBBLICO DELLA SOTTOSTANTE VALLETTA.;Mc;2.096.657,00;5;99;ALTRE OPERE ED INFRASTRUTTURE SOCIALI;192;VERDE PUBBLICO;;No;2.096.657,00;103.736.288,00;46.691.318,00;;;4501;N;;209.666,00;209.666,00;;Si;;;;;;;Si;;;;No;No;;;In progetto per l'opera;No;;2005;30/12/2011;;AREA GASOMETRO;No;;VIA MARINCOLA PISTOIA;0;;;Art.4 c. 2 Lett. g);;1,30E+39;388.899.362.670.956;166.025.303.321.291
Regione Calabria;2016;I14H99000010001;;Regionale;Comune di Morano Calabro;83000670782;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione avviati risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;18078083;;Regionale;COSTRUZIONE  40 ALLOGGI ERP - LOCALITA' CAPPUCCINI;COSTRUZIONE 40 ALLOGGI ERP -;Mq;657;5;10;ABITATIVE;103;FABBRICATI RESIDENZIALI URBANI;45000000-7;No;3.169.496,00;2.066.390,00;1.571.263,00;Si;1.600.000,00;4286;N;;31.695,00;31.695,00;Si;;;;;;;Si;No;;Si;No;No;No;;;In progetto per l'opera;No;;1999;30/09/2013;;LOCALIT� CAPPUCCINI;No;;LOC CAPPUCCINI;1;PROGRAMMA STRAORDINARIO DI EDILIZIA RESIDENZIALE ;;;;;;
"DA CONCEDERE IN LOCAZIONE AI DIPENDENTI DELLE AMMINISTRAZIONI DELLO STATO - LOTTA ALLA CRIMINALIT� ORGANIZZATA""";ART 18 LEGGE 12/07/1991 N.203;Art.4 c. 2 Lett. g);;8,30E+45;398.627.522.997.978;161.101.970.083.492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regione Calabria;2016;G69B04000000006;;Regionale;COMUNE DI SETTINGIANO;323390799;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione ultimati non sono stati collaudati nel termine previsto...;1;NUOVA REALIZZAZIONE;18079131;ITF63;Regionale;REALIZZAZIONE STRUTTURA RICETTVA-SPORTIVA;REALIZZAZIONE STRUTTURA RICETTIVA-SPORTIVA;Mq;10.200,00;5;12;SPORT SPETTACOLO E TEMPO LIBERO;98;IMPIANTI SPORTIVI;;No;120.000,00;7.912.405,00;72.168,00;Si;100.000,00;4029;N;;120;120;;;;;;;Si;Si;Si;No;No;No;No;Si;;;In progetto per l'opera;No;;2004;09/06/2010;31/12/2015;CAMPO SPORTIVO;No;;LOC. ALICELLA;99;ACCORDO DI PARTENIARATO ALLA G.A.L. SERRE CALABRESI;;Art.4 c. 2 Lett. g);;3,23E+39;388.987.360.300.941;165.180.370.054.053
