pubblicata_da;anno_rif;cup;cup_master;ambito_soggettivo;denominazione_stazione_appaltante;codice_fiscale;codice_natura_opera;natura_opera;tipologia_opera_incompiuta;codice_tipologia_cup;tipologia_cup;localizz_cod_istat;localizz_cod_nuts;ambito_oggettivo;titolo;descrizione;dimensione_unita_misura;dimensione_valore;settore;codice_sotto_settore;sottosettore;codice_categoria;categoria;cpv;progetto_cumulativo;importo_complessivo_intervento_aggiornato_ultimo_qe;importo_lavori_aggiornato_ultimo_qe_approvato;importo_complessivo_lavori_aggiornato_ultimo_sal;oneri_necesari_per_ultimazione_lavori;importo_oneri;perc_avanzamento;sponsorizzato;finanziamento_di_prog;costo_prog;finanziamento_assegnato;copertura_finanziaria_statale;copertura_finanziaria_regionale;copertura_finanziaria_provinciale;copertura_finanziaria_comunale;altra_copertura_finanziaria_pubblica;copertura_finanziaria_privata;comunitaria;mancanza_fondi;cause_tecniche;soprav_nuove_norme_tec_disp_legge;fallim_liq_coatta_e_conc_prev;mancato_interesse_al_compl;opera_fruibile_dalla_collettivita;possibile_uso_ridim;destinazione_uso_alternativa;sentito_demanio;destinazione_uso_opera;opera_inserita_in_infrastruttura_rete;incomp_costituisce_discont_rete;anno_decisione_attuazione;data_assegnazione_cup;data_chiusura_cup;strutture_coinvolte;struttura_unica;tipo_indirizzo;indirizzo;strumento_programmazione;descrizionestrumento_programmazione;altre_informazioni;livello_sviluppo;utilita_per_collettivita;id_trasm_elenco;lat;lon
Regione del Veneto;2016;H21H12000100003;null;Regionale;Regione del Veneto - Direzione Infrastrutture Trasporti e Logistica - U.O. Infrastrutture Strade e Concessioni;80007580279;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;5026012;ITD34;Regionale;Soppressione passaggio a livello km 30+517 della tratta Mestre-Castelfranco Veneto del 1??? stralcio del Sistema Ferroviario Metropolitano Regionale;SOPPRESSIONE PASAGGIO A LIVELLO KM 30+517 DELLA TRATTA MESTRE-CASTELFRANCO V.TO E REALIZZAZIONE SOTTOPASSO NELLE ADIACENZE DELL'ATTUALE PASSAGGIO A LIVELLO;Ml;7.510.000,00;1;3;FERROVIE;31;LINEE FERROVIARIE;null;No;7.510.000,00;7.510.000,00;0,00;Si;7.510.000,00;0;N;null;7.510,00;7.510,00;Si;Si;null;null;null;null;null;No;Si;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2012;15/10/2013;null;TRATTA FERROVIARIA SALZANO - CASTELFRANCO VENETO;No;null;VIA DE AMICIS;99;Piano regionale dei Trasporti;null;Art.4 c. 2 Lett. g);null;8,00E+31;45.6670423777572;11.934746891347
Regione del Veneto;2016;H91H12000100003;null;Regionale;Regione del Veneto - Direzione Infrastrutture Trasporti e Logistica - U.O. Infrastrutture Strade e Concessioni;80007580279;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;5027026;ITD35;Regionale;Soppressione passaggio a livello km 14+550 tratta Mestre-Castelfranco dellaprima fase  del Sistema Ferroviario Metropolitano Regionale e costruzione relativo sottopasso;SOPPRESSIONE PASSAGGIO A LIVELLO KM 14+550 DELLA TRATTA MESTRE-CASTELFRANCO VENETO E REALIZZAZIONE SOTTOPASSO NELLE ADIACENZE DELL'ATTUALE PASSAGGIO A LIVELLO;Ml;8.030.000,00;1;3;FERROVIE;31;LINEE FERROVIARIE;null;No;8.030.000,00;8.030.000,00;0,00;Si;8.030.000,00;0;N;null;8.030,00;8.030,00;Si;Si;null;null;null;null;null;No;Si;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2012;15/10/2013;null;TRATTA FERROVIARIA SALZANO-CASTELFRANCO VENETO;No;null;VIA DEGLI ONGARI;99;Piano Regionale dei Trasporti;null;Art.4 c. 2 Lett. g);null;8,00E+31;45.5535675432436;12.0677567058488
Regione del Veneto;2016;H47E14000200006;null;Regionale;COMUNE DI STRA;82007270273;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;55;COMPLETAMENTO DI RESTAURO;5027039;ITD35;Regionale;Restauro e risanamento conservativo Villa Loredan - opere di completamento;RESTAURO E RISANAMENTO CONSERVATIVO DI VILLA LOREDAN - OPERE DI COMPLETAMENTO.;vn;3.350.000.000,00;5;33;DIREZIONALI E AMMINISTRATIVE;3;OPERE E INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE;45215000-7;No;1.800.000,00;1.800.000,00;0,00;Si;1.800.000,00;0;N;null;1.800,00;1.800,00;null;Si;null;Si;null;null;null;Si;No;No;Si;No;No;Si;null;null;In progetto per l'opera;No;null;2014;19/12/2014;null;RESTAURO E RISANAMENTO CONSERVATIVO DI VILLA LOREDAN - OPERE DI COMPLETAMENTO.;No;null;VIA ROMA 1;0;null;null;Art.4 c. 2 Lett. g);null;8,20E+31;45.4104478604577;12.0311415746498
Regione del Veneto;2016;H41B05000340007;null;Regionale;Comune di Breda di Piave;80006200267;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;5026005;null;Regionale;"piruea ""ex tessitura Zangrando"": realizzazione opere di urbanizzazione (verde, parcheggi, marciapiedi e pista ciclabile)";PIRUEA ZANGRANDO: REALIZZAZIONE OPERE A SCOMPUTO ONERI URBANIZZAZIONE (PARCHEGGIO, VERDE, MARCIAPIEDI E PISTA CICLABILE);Mq;4.038,00;1;1;STRADALI;999;ALTRE OPERE STRADALI;45200000-9;No;463.829,28;0,00;0,00;No;null;0;null;null;463,83;0,00;null;null;null;null;null;Si;null;Si;No;No;Si;No;No;No;null;null;In progetto per l'opera;No;null;2005;30/09/2013;null;PIRUEA ZANGRANDO: REALIZZAZIONE OPERE A SCOMPUTO ONERI URBANIZZAZIONE (PARCHEGGIO, VERDE, MARCIAPIEDI E PISTA CICLABILE);No;null;VIA TRENTO E TRIESTE;99;P.I.R.U.E.A L.R. 23/1999 ART. 5;null;Art.4 c. 2 Lett. g);null;8,00E+31;45.7181357042926;12.3587532684066
Regione del Veneto;2016;H91H12000090003;null;Regionale;Regione del Veneto - Direzione Infrastrutture Trasporti e Logistica - U.O. Infrastrutture Strade e Concessioni;80007580279;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;5028060;ITD36;Regionale;Soppressione passagio a livello km 46+160 della tratta Padova-Camposampiero della linea Padova-Castelfranco del 1??? stralcio del sistema ferroviario metropolitano regionale e costruzione relativo sottopasso;SOPPRESSIONE PASSAGGIO A LIVELLO KM 46+160 DELLA TRATTA PADOVA-CAMPOSAMPIERO E REALIZZAZIONE DI UN SOTTOPASSO IN ASSE ALL'ATTUALE PASSAGGIO A LIVELLO;Ml;6.090.000,00;1;3;FERROVIE;31;LINEE FERROVIARIE;null;No;6.090.000,00;6.090.000,00;0,00;Si;6.090.000,00;0;N;null;6.090,00;6.090,00;Si;Si;null;null;null;null;null;No;Si;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2012;14/10/2013;null;TRATTA FERROVIARIA PADOVA-CASTELFRANCO VENETO;No;null;VIA TICINO;99;Piano Regionale dei Trasporti;null;Art.4 c. 2 Lett. g);null;8,00E+31;45.4033796242734;11.8831788784145
Regione del Veneto;2016;H41H12000070003;null;Regionale;Regione del Veneto - Direzione Infrastrutture Trasporti e Logistica - U.O. Infrastrutture Strade e Concessioni;80007580279;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;5028046;ITD36;Regionale;Soppressione passaggio a livello km 3+750 tratta Padova-Camposampiero della linea Padova-Castelfranco del 1??? stralcio del sistema ferroviario metropolitano regionale e cotruzione relativo sottopasso;SOPPRESSIONE PASSAGGIO A LIVELLO KM 3+750 DELLA TRATTA CAMPOSAMPIERO-CASTELFRANCO V.TO E REALIZZAZIONE SOTTOPASSO CARRABILE NELLE ADIACENZE DELL'ATTUALE PASSAGGIO A LIVELLO;Ml;4.890.000,00;1;3;FERROVIE;31;LINEE FERROVIARIE;null;No;4.890.000,00;4.890.000,00;0,00;Si;4.890.000,00;0;N;null;4.890,00;4.890,00;Si;Si;null;null;null;null;null;No;Si;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2012;14/10/2013;null;TRATTA FERROVIARIA PADOVA-CASTELFRANCO VENETO;No;null;VIA SANGUETTARA;99;PIANO REGIONALE DEI TRASPORTI;null;Art.4 c. 2 Lett. g);null;8,00E+31;45.5987241504839;11.941037008972
Regione del Veneto;2016;H41B09001240006;null;Regionale;Comune di Breda di Piave;80006200267;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;5026005;null;Regionale;"P.I.R.U.E.A. ""Antonio Basso"": demolizione di opificio industriale e realizzazione di edifici residenziali-commerciali. E' prevista la realizzazione di una pista ciclabile a carico del Comune.";REALIZZAZIONE DI PISTA CICLO PEDONALE;Ml;1.319,00;1;1;STRADALI;14;PISTE CICLABILI;45200000-9;No;713.000,00;713.000,00;0,00;No;null;0;N;null;713,00;713,00;null;Si;null;Si;null;null;null;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;Si;No;2009;30/09/2013;null;VIA A. DAL VESCO;No;null;VIA A. DAL VESCO;99;PROGRAMMA TRIENNALE 2009/2011;null;Art.4 c. 2 Lett. g);null;8,00E+31;45.7181357042926;12.3587532684066
Regione Emilia-Romagna;2016;J67J09000100005;null;Regionale;S.TE.P.RA. SOC. CONS. A R.L.;830680393;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;1;NUOVA REALIZZAZIONE;8039014;ITD57;Regionale;Lavori di realizzazione del PUE Bassette Ovest (RA) ??? STRALCIO A e B;LAVORI DI REALIZZAZIONE DEL PUE BASSETTE OVEST (RA) - STRALCIO A;Mq;149.157,00;4;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;144;INFRASTRUTTURE CIVILI PER AREE INDUSTRIALI;45230000-8;No;1.679.431,41;1.679.431,41;1.679.431,41;No;null;100;N;null;3.013,00;3.013,00;null;null;null;null;Si;null;null;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2009;21/02/2011;null;LAVORI DI REALIZZAZIONE DEL PUE BASSETTE OVEST (RA);Si;null;VIA ROMEA NORD;99;PUE - PRG;null;Art.4 c. 2 Lett. a);null;8,31E+27;44.4127920936089;12.1931325799298
Regione Emilia-Romagna;2016;H94B13000140003;null;Regionale;COMUNE DI SORAGNA;223170341;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;55;COMPLETAMENTO DI RESTAURO;8034036;ITD52;Regionale;RISTRUTTURAZIONE CONVENTO DEL CARMINE;RISTRUTTURAZIONE CONVENTO DEL CARMINE;Mq;1.000,00;5;8;SOCIALI E SCOLASTICHE;81;EDILIZIA SOCIALE, CULTURALE E ASSISTENZIALE;null;No;450.000,00;450.000,00;450.000,00;No;null;100;N;null;2.868,90;1.265,00;null;null;null;null;Si;Si;null;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2013;30/09/2013;null;RISTRUTTURAZIONE CONVENTO DEL CARMINE;Si;null;PIAZZA CADUTI VIA FANI;0;null;null;Art.4 c. 2 Lett. a);null;2,23E+27;44.9377024702373;10.138566079606
Regione Emilia-Romagna;2016;J87D06000040007;null;Regionale;S.TE.P.RA. SOC. CONS. A R.L.;830680393;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;1;NUOVA REALIZZAZIONE;8039014;ITD57;Regionale;OPERE DI URBANIZZAZIONE DELL???AREA A DESTINAZIONE PRODUTTIVA SITA A LUGO (RA), S.P. QUARANTOLA;OPERE DI URBANIZZAZIONE DELL???AREA A DESTINAZIONE PRODUTTIVA SITA A LUGO (RA), S.P. QUARANTOLA;Mq;74.100,00;4;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;999;ALTRE INFRASTRUTTURE PER ATTREZZATURE DI AREE PRODUTTIVE;45230000-8;No;692.245,34;692.245,34;692.245,34;No;null;100;N;null;754,57;754,57;null;null;null;null;Si;null;null;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2006;11/12/2006;null;null;No;null;null;99;X;X;Art.4 c. 2 Lett. a);null;8,31E+27;44.4127920936089;12.1931325799298
Regione Emilia-Romagna;2016;J97D06000040007;null;Regionale;S.TE.P.RA. SOC. CONS. A R.L.;830680393;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;1;NUOVA REALIZZAZIONE;8039015;ITD57;Regionale;LAVORI DI URBANIZZAZIONE DELL'AREA DESTINATA A NUOVI INSEDIAMENTI PRODUTTIVI SITA NEL COMUNE DI RIOLO TERME, VIA BOLOGNA;LAVORI DI URBANIZZAZIONE DELL'AREA DESTINATA A NUOVI INSEDIAMENTI PRODUTTIVI SITA NEL COMUNE DI RIOLO TERME, VIA BOLOGNA;Mq;31.230,00;4;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;999;ALTRE INFRASTRUTTURE PER ATTREZZATURE DI AREE PRODUTTIVE;45230000-8;No;384.998,02;384.998,02;384.998,02;No;null;100;N;null;417,58;417,58;null;null;null;null;Si;null;null;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2006;14/12/2006;null;null;No;null;null;99;X;X;Art.4 c. 2 Lett. a);null;8,31E+27;44.2765994718364;11.7021452270068
Regione Emilia-Romagna;2016;E98G11000700001;null;Regionale;Regione Emilia-Romagna Servizio Tecnico Bacino Reno;80062590379;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;6;MANUTENZIONE ORDINARIA;8037057;null;Regionale;CUP E98G1100070001 -  CIG 3250656E2D - O.P.C.M. 3850/2010 ??? Cod. 06164 ??? Comune di Sasso Marconi - Lavori urgenti per un primo consolidamento dei due tronconi laterali dell???opera idraulica sul Fiume Reno in localit??? Palazzo dei Rossi.;CONSOLIDAMENTI STRUTTURALI DELL'OPERA IDRAULICA,;Ml;160,00;2;5;DIFESA DEL SUOLO;121;DIFESA DEL SUOLO E REGIMAZIONE ACQUE;null;No;293.753,85;293.753,85;202.715,91;No;null;69,01;N;null;300,00;300,00;Si;null;null;null;null;null;null;null;null;null;Si;null;Si;No;null;null;In progetto per l'opera;No;null;2011;26/08/2011;null;COMUNE DI SASSO MARCONI - LAVORI URGENTI PER UN PRIMO CONSOLIDAMENTO DEI DUE TRONCONI LATERALI DELL'OPERA IDRAULICA SUL FIUME RENO IN LOCALIT??? PALAZZO DEI ROSSI.;No;null;LOCALIT??? PALAZZO DEI ROSSI;99;O.P.C.M. 3850/2010 - Decreto n. 85 del 16/05/2011;null;Art.4 c. 2 Lett. e);null;8,01E+31;44.4065900914886;11.2421410673326
Regione Emilia-Romagna;2016;C71C99000000001;null;Regionale;FERROVIE EMILIA ROMAGNA S.R.L.;2080471200;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;8038008;ITD56;Regionale;INTERVENTI PER LA REALIZZAZIONE DEL NUOVO ASSETTO DEI TRASPORTI FERROVIARI IN COMUNE DI FERRARA E DI UN COLLEGAMENTO DIRETTO TRA LE LINEE FERROVIARIE RIMINI-FERRARA E SUZZARA-FERRARA. 1??? STRALCIO-2??? LOTTO;INTERVENTI PER LA REALIZZAZIOEN DEL NUOVO ASSETTO DEI TRASPORTI FERROVIARI IN COMUNE DI FERRARA E COLLEGAMENTO DIRETTO DELLE LINEE FERROVIARIE RIMINI-FERRARA E SUZZARA-FERRARA: 1??? STRALCIO-2??? LOTTO;Ml;6.290,00;1;3;FERROVIE;31;LINEE FERROVIARIE;45234129-6;No;55.900.000,00;46.644.345,79;13.573.546,86;No;null;29,1;N;null;41,86;41,86;Si;null;null;Si;Si;null;null;No;No;No;Si;No;Si;No;null;null;In progetto per l'opera;Si;Si;1999;28/11/2008;null;LINEE FERROVIARIE: FERRARA-CODIGORO SUZZARA-FERARRA RIMINI-FERRARA;No;null;COMUNE DI FERRARA;99;ACCORDO 08/06/99 FRA MINISTERO DEI TRASPORTI E DELLA NAVIGAZIONE-REGIONE EMILIA ROMAGNA-PROVINCIA DI FERRARA, COMUNE DI FERRARA-FERROVIE DELLO STATO -GESTIONI GOVERNATIVE FERROVIA SUZZARA-FERRARA E FERROVIE PADANE;null;Art.4 c. 2 Lett. e);null;2,08E+29;44.8228610600666;11.6492201218158
Regione Emilia-Romagna;2016;C92F14000220002;null;Regionale;COMUNE DI CARPI;184280360;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;5;RESTAURO;8036005;ITD54;Regionale;"Progetto A4 n. 238/14 ""Interventi locali di consolidamento statico/sismico del Teatro Comunale (a completamento degli interventi di miglioramento post-sisma 2012)"".";TEATRO COMUNALE-INTERVENTO DI RIPRISTINO A SEGUITO DEL SISMA 2012.;Mc;16.600,00;5;12;SPORT, SPETTACOLO E TEMPO LIBERO;100;TEATRI ED ALTRE STRUTTURE PER LO SPETTACOLO;45200000-9;No;300.000,00;192.736,43;52.128,10;No;null;27,05;N;null;300,00;300,00;null;Si;null;null;null;null;null;No;Si;No;No;No;Si;Si;null;null;In progetto per l'opera;No;null;2014;24/06/2014;null;INTERVENTO DI RIPRISTINO A SEGUITO DEL SISMA 2012. TEATRO COMUNALE;No;null;PIAZZA MARTIRI;99;Ordinanza Presidente Regione Emilia Romagna n.14 del 24/02/2014 cod. reg. n.2935;PGT 238/14 ID 7200 COD.REG. N.2935;Art.4 c. 2 Lett. e);null;1,84E+27;44.8016032572005;10.8925453696168
Regione Emilia-Romagna;2016;B79J09003840001;null;Regionale;COMUNE TREDOZIO;695070409;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;3;RECUPERO;8040049;ITD58;Regionale;RESTAURO E LA VALORIZZAZIONE DELL???EX MONASTERO DELLA SS.ANNUNZIATA;RESTAURO E LA VALORIZZAZIONE DELL?EX MONASTERO DELLA SS.ANNUNZIATA;Mq;14.500,00;5;11;OPERE PER IL RECUPERO, VALORIZZAZIONE E FRUIZIONE DI BENI CULTURALI;999;ALTRE OPERE PER LA FRUIZIONE DI BENI CULTURALI;null;No;8.204.449,97;3.500.000,00;1.262.801,22;Si;4.704.449,97;15,39;null;null;8.204,45;7.454,45;Si;Si;null;null;null;Si;null;Si;null;null;null;null;Si;Si;null;null;In progetto per l'opera;No;null;2009;31/03/2017;null;RESTAURO E LA VALORIZZAZIONE DELL?EX MONASTERO DELLA SS.ANNUNZIATA;No;null;VIA CONVENTO 38/40;99;BILANCIO COMUNALE;null;Art.4 c. 2 Lett. e);null;6,95E+27;44.0623517187474;11.7504966355971
Regione Emilia-Romagna;2016;D24F10000020004;null;Regionale;COMUNE DI CESENATICO;220600407;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;5;RESTAURO;8040008;null;Regionale;Recupero antico lavatoio di via Cecchini;LAVORI PER IL RECUPERO DELL'ANTICO LAVATOIO;Mq;709.578,21;5;12;SPORT, SPETTACOLO E TEMPO LIBERO;100;TEATRI ED ALTRE STRUTTURE PER LO SPETTACOLO;45400000-1;No;1.000.000,00;898.362,23;715.258,70;No;null;79,62;N;null;1.000,00;1.000,00;null;null;null;Si;null;null;null;null;Si;null;null;null;No;No;null;null;In progetto per l'opera;No;null;2010;22/12/2010;null;LAVORI PER IL RECUPERO DELL???ANTICO LAVATOIO;No;null;VIA CECCHINI;99;null;null;Art.4 c. 2 Lett. g);null;2,21E+27;44.1758423080421;12.3800903795087
Regione Emilia-Romagna;2016;J14B08000040006;null;Regionale;COMUNE DI CASTELFRANCO EMILIA;172960361;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;5;RESTAURO;8036006;null;Regionale;Interventi di restauro conservativo a Villa Sorra - Villa;RESTAURO CONSERVATIVO A VILLA SORRA;Mc;14.000,00;5;11;OPERE PER IL RECUPERO, VALORIZZAZIONE E FRUIZIONE DI BENI CULTURALI;96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;45454000-4;No;500.000,00;232.504,00;140.171,83;null;null;60,29;N;null;500,00;500,00;null;Si;null;Si;null;null;null;null;Si;Si;null;null;No;No;null;null;In progetto per l'opera;No;null;2008;12/12/2008;null;VILLA SORRA;No;null;CASTELFRANCO EMILIA;99;piano annuale;null;Art.4 c. 2 Lett. g);null;1,73E+27;44.5981887792434;11.0727949514987
Regione Emilia-Romagna;2016;C99B11000000007;null;Regionale;Comune di Rimini;304260409;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;1;NUOVA REALIZZAZIONE;8099014;null;Nazionale;Concessione di lavori pubblici di cui all'art. 143 del D.Lgs. 163/2006 e smi avente per oggetto la progettazione definitiva, esecutiva, realizzazione e gestione del centro sportivo per il gioco del calcio nell'area Ghigi;REALIZZAZIONE CENTRO SPORTIVO PER IL GIOCO DEL CALCIO;Mq;101.313,00;5;12;SPORT, SPETTACOLO E TEMPO LIBERO;98;IMPIANTI SPORTIVI;null;No;3.814.400,00;4.730.000,00;2.521.813,12;Si;3.418.261,41;30,95;N;null;4.814,00;0,00;null;null;null;null;null;Si;null;No;No;No;Si;No;No;Si;null;null;In progetto per l'opera;No;null;2011;18/02/2011;null;CENTRO SPORTIVO PER IL GIOCO DEL CALCIO NELL'AREA GHIGI;No;null;VIA MONTEVECCHIO;99;programma triennale dei LL.PP.;null;Art.4 c. 2 Lett. g);null;3,04E+27;44.0389202142901;12.5305561697691
Regione Emilia-Romagna;2016;H62I10000110005;null;Regionale;COMUNE DI FONTANELLATO;227430345;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;3;RECUPERO;8034015;ITD52;Regionale;Concessione di costruzione e gestione relativa al ???Programma di riqualificazione urbana ???Il Listone???;"CONCESSIONE DI COSTRUZIONE E GESTIONE PER LAVORI DI RECUPERO EDIFICIO ""IL LISTONE"" PER LA REALIZZAZIONE DI N. 12 ALLOGGI A CANONE SOSTENIBILE, ATTIVITA' COMMERCIALE E SPAZI AD USO PUBBLICO";Mq;4.580.000,00;5;11;OPERE PER IL RECUPERO, VALORIZZAZIONE E FRUIZIONE DI BENI CULTURALI;96;RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI;45454100-5;No;4.580.000,00;3.700.000,00;553.166,15;Si;0;14,95;N;null;4.580,00;1.720,90;Si;Si;null;Si;null;Si;null;Si;No;No;Si;No;No;No;null;null;In progetto per l'opera;No;null;2010;25/10/2010;null;"EX MUNICIPIO - EDIFICIO DENOMINATO ""IL LISTONE""";No;null;VIA COSTA;1;ACCORDO DI PROGRAMMA STATO-REGIONE APPROVATO CON DECRETO DIRETTORIALE PROT. N. 8468 DEL 14 LUGLIO 2010 E REGISTRATO ALLA CORTE DEI CONTI IN DATA 2 AGOSTO 2010, REG. 9, FOG. 177.;ACCORDO DI PROGRAMMA REGIONE EMILIA ROMAGNA - COMUNE DI CUI ALL?ART. 9 DELLA L.R. 19/98: REALIZZAZIONE DEL PROGRAMMA DI RIQUALIFICAZIONE URBANA PER ALLOGGI A CANONE SOSTENIBILE ?IL LISTONE? .;Art.4 c. 2 Lett. g);null;2,27E+27;44.880880000466;10.1643313588156
Regione Emilia-Romagna;2016;J67J09000100005;null;Regionale;S.TE.P.RA. SOC. CONS. A R.L.;830680393;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;1;NUOVA REALIZZAZIONE;8039014;ITD57;Regionale;PUE Bassette Ovest (RA) - Stralcio A e B Fornitura e posa di conglomerati bituminosi seconda fase;LAVORI DI REALIZZAZIONE DEL PUE BASSETTE OVEST (RA) ? STRALCIO A;Mq;16.800,00;4;39;INFRASTRUTTURE PER L'ATTREZZATURA DI AREE PRODUTTIVE;144;INFRASTRUTTURE CIVILI PER AREE INDUSTRIALI;null;No;335.712,02;335.712,02;72.967,84;Si;262.744,18;12,19;N;null;3.013,00;3.013,00;null;null;null;null;Si;null;null;Si;No;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2009;21/02/2011;null;LAVORI DI REALIZZAZIONE DEL PUE BASSETTE OVEST (RA);Si;null;VIA ROMEA NORD;99;PUE - PRG;null;Art.4 c. 2 Lett. g);null;8,31E+27;44.4127920936089;12.1931325799298
Regione Emilia-Romagna;2016;G39C09000370008;null;Regionale;ACER AZIENDA CASA EMILIA ROMAGNA PROVINCIA DI BOLOGNA;322270372;3;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;55;COMPLETAMENTO DI RESTAURO;8037006;null;Regionale;LOTTI 957/RI E 958/R*VIA SERRA 28,30,32,34 VIA ALBANI 6 VIA DI VINCENZO 31* RESTAURO E RISANAMENTO CONSERVATIVO DI N. 38 ALLOGGI NEL QUARTIERE NAVILE - ZONA BOLOGNINA;RESTAURO E RISANAMENTO CONSERVATIVO DI N. 38 ALLOGGI NEL QUARTIERE NAVILE - ZONA BOLOGNINA;Mq;4.231,00;5;10;ABITATIVE;103;FABBRICATI RESIDENZIALI URBANI;null;No;6.396.120,10;3.504.785,03;275.281,50;No;null;7,85;N;null;7.968,00;5.752,11;Si;null;null;null;null;Si;null;No;Si;No;No;No;No;No;null;null;In progetto per l'opera;No;null;2009;03/11/2010;null;LOTTI 957/RI E 958/R;No;null;VIA SERRA 28,30,32,34 VIA ALBANI 6 VIA DI VINCENZO 31;0;null;null;Art.4 c. 2 Lett. g);null;3,22E+27;44.4979958900553;11.3334199534078
