pubblicata_da;cup;ambito_soggettivo;denominazione_stazione_appaltante;codice_fiscale;natura_opera;tipologia_opera_incompiuta;tipologia_cup;ambito_oggettivo;titolo;descrizione;dimensione_unita_misura;dimensione_valore;codice_sotto_settore;sottosettore;codice_categoria;categoria;cpv;progetto_cumulativo;importo_complessivo_intervento_aggiornato_ultimo_qe;importo_lavori_aggiornato_ultimo_qe_approvato;importo_complessivo_lavori_aggiornato_ultimo_sal;oneri_neccessari_per_ultimazione_lavori;importo_oneri;perc_avanzamento;sponsorizzato;finanziamento_di_prog;costo_prog;finanziamento_assegnato;copertura_finanziaria;causa;anno_decisione_attuazione;data_assegnazione_cup;data_chiusura_cup;strutture_coinvolte;indirizzo;lat;lon
Calabria;D65I05000070002;Regionale;Comune di Catanzaro;129520797;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;NUOVA REALIZZAZIONE;Regionale;LAVORI DI REALIZZAZIONE DEI COLLEGAMENTI MECCANIZZATI TRA L'AREA DELLA STAZIONE CATANZARO SALA, IL PARCO E L'AREA DELL'EX GASOMETRO CON ASCENSORI INCLINATI DA 12 PERSONE;LAVORI DEI COLLEGAMENTI MECCANIZZATI TRA L'AREA DELLA STAZIONE CZ SALA, IL PARCO E L'AREA DELL'EX GASOMETRO CON ASCENSORI INCLINATI PER 12 PERSONE - COMPLETAMENTO;Mc;3350627.3;99;OPERE DI EDILIZIA PUBBLICA;999;OPERE DI EDILIZIA PUBBLICA;null;No;3350627.3;3004221.35;1685827;null;null;56.12;N;null;2290;2290;Regionale;Cause tecniche;2005;07/04/2012;null;AREA DELLA STAZIONE CZ SALA, IL PARCO E L'AREA DELL'EX GASOMETRO;AREA DELLA STAZIONE CZ SALA, IL PARCO E L'AREA DELL'EX GASOMETRO;38.8899362670956;16.6025303321291
Calabria;G15I08000010007;Regionale;comune di Bagnara Calabra;80002470807;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;IMPIANTO SPORTIVO POLIFUNZIONALE IN LOCALIT??? PELLEGRINA;IMPIANTO SPORTIVO POLIFUNZIONALE;ne;1;12;IMPIANTI SPORTIVI;98;IMPIANTI SPORTIVI;45200000-9;No;1028807.99;814712.48;570243.9;Si;280000;52.09;N;null;1028.81;1028.81;Provinciale,Comunale;Cause tecniche;2008;22/05/2008;null;IMPIANTO SPORTIVO POLIFUNZIONALE IN LOCALIT? PELLEGRINA;VIA PROVINCIALE EX SS 112 FRAZIONE DI PELLEGRINA;38.2814666560667;15.8168561353367
Calabria;D69D05000210002;Regionale;Comune di Catanzaro;129520797;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;RISTRUTTURAZIONE DELL'AREA DEL GASOMETRO DI CATANZARO SALA E SISTEMAZIONE A PARCO PUBBLICO DELLA SOTTOSTANTE VALLETTA COSTEGGIANTE LA VIA MARINCOLA PISTOIA;RISTRUTTURAZIONE DELL'AREA DEL GASOMETRO DI CATANZARO SALA E SISTEMAZIONE A PARCO PUBBLICO DELLA SOTTOSTANTE VALLETTA.;Mc;2096657;99;VERDE PUBBLICO;192;VERDE PUBBLICO;null;No;2096657;1037362.88;466913.18;null;null;45.01;N;null;2096.66;2096.66;Regionale;Cause tecniche;2005;30/12/2011;null;AREA GASOMETRO;VIA MARINCOLA PISTOIA;38.8899362670956;16.6025303321291
Calabria;G69B04000000006;Regionale;COMUNE DI SETTINGIANO;323390799;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;NUOVA REALIZZAZIONE;Regionale;REALIZZAZIONE STRUTTURA RICETTVA-SPORTIVA;REALIZZAZIONE STRUTTURA RICETTIVA-SPORTIVA;Mq;10200;12;IMPIANTI SPORTIVI;98;IMPIANTI SPORTIVI;null;No;120000;79124.05;72168;Si;100000;40.29;N;null;120;120;null;Mancanza fondi,Cause tecniche;2004;09/06/2010;31/12/2015;CAMPO SPORTIVO;LOC. ALICELLA;38.8987360300941;16.5180370054053
Calabria;E13B08000120001;Regionale;comune di montepaone;297260796;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;RISTRUTTURAZIONE;Regionale;piano straordinario messa in sicurezza degli edifici scolastici comunali ( art. 90, comma 21 Legge 289/2002 , deliberazione CIPE n. 143/2000) -;PIANO STRAORDINARIO DI MESSA IN SICUREZZA DEGLI EDIFICI SCOLASTICI COMUNALI ( ART. 80 LEGGE 289/2002);na;1000000;8;ASILI NIDO;82;ASILI NIDO;45454000-4;No;342995.98;207800;207800;Si;700000;22.89;N;null;342;342;Statale;Mancanza fondi;2008;12/12/2008;10/03/2010;ASILO NIDO - COMUNE DI MONTEPAONE;VIA PELEGGI;38.7227070836813;16.498293635926
Calabria;I34E87000000001;Regionale;COMUNE DI SERRA SAN BRUNO;278200795;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;"Costruzione di un'isola ecologica ed annessa discarica d'emergenza in localit??? ""Roseto-Tavolella""";REALIZZAZIONE DI OPERE PER LO SMALTIMENTO DEI RIFIUTI;nu;21000;10;IMPIANTI SMALTIMENTO RIFIUTI URBANI;115;IMPIANTI SMALTIMENTO RIFIUTI URBANI;null;No;650735.69;442606.83;78780.34;No;null;17.8;N;null;650.74;650.74;Statale;Cause tecniche;1987;03/10/2013;null;"COSTRUZIONE DI UN IMPIANTO PER LO SMALTIMENTO DEI RIFIUTI SOLIDI URBANI ED ANESSA ISOLA ECOLOGICA IN LOCALIT? ""ROSETO-TAVOLELLA""";LOC. ROSETO;38.5571258914293;16.3218895101419
Calabria;G98J05000000002;Regionale;COMUNE DI ACRI (CS);388670788;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;Completamento Caserma dei Carabinieri;REALIZZAZIONE CASERMA;Mq;280;32;CASERME;90;CASERME;45216000-4;No;2925000;425000;300000;Si;2500000;10.26;null;null;425;425;Regionale;Mancanza fondi;2005;19/04/2005;null;CASERMA DEI CARABINIERI;VIA DELLA RESISTENZA;39.4944370666619;16.4284657097438
Calabria;E66D13000310002;Nazionale;comune di san pietro di carid???;82001330800;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;MANUTENZIONE STRAORDINARIA;Regionale;Campo Sportivo comunale;MANUTENZIONE STRAORDINARIA CAMPO SPORTIVO;Mq;6000;12;IMPIANTI SPORTIVI;98;IMPIANTI SPORTIVI;null;No;150000;0;0;Si;150000;0;N;null;150;150;Regionale;Mancanza fondi;2013;26/09/2013;null;MANUTENZIONE STRAORDINARIA CAMPO SPORTIVO;VIA PROVINCIALE;38.4907987558489;16.189714847392
Campania;F51B97000010002;Regionale;Comune di Cerreto Sannita;81000090621;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;LAVORI DI COSTRUZIONE DELLA BRETELLA DI COLLEGAMENTO SUPERSTRADE BENEVENTO CAIANELLO E BENEVENTO CAMPOBASSO- 2??? LOTTO;COSTRUZIONE DI UNA STRADA INTERCOMUNALE DI RACCORDO TRA DUE SUPERSTRADE;Ml;2000;1;STRADE REGIONALI, PROVINCIALI E COMUNALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;45200000-9;No;26610958.18;11537072.69;10735510.31;No;null;93.05;N;null;26610.96;26610.96;Regionale;Fallimento liq. coatta;1997;25/03/2016;null;LAVORI DI COSTRUZIONE DELLA BRETELLA DI COLLEGAMENTO SUPERSTRADE BENEVENTO-CAIANELLO E BENEVENTO-CAMPOBASSO - 2? LOTTO.;DIVERSE LOCALIT?;41.2978776136581;14.5820081501635
Campania;I75E08000030002;Regionale;COMUNE DI MONTELLA;235250644;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;NUOVA REALIZZAZIONE;Regionale;COMPLETAMENTO COSTRUZIONE NUOVA SEDE COMUNALE E PIAZZA CIVICA 2??? LOTTO;LAVORI DI COMPLETAMENTO DELLA NUOVA SEDE COMUNALE E SISTEMAZIONE PIAZZA CIVICA 2? LOTTO;vn;40;33;OPERE E INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE;3;OPERE E INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE;null;No;4109823.09;3761096.83;3761096.83;Si;348726.26;91.51;N;null;6269.57;6269.57;Regionale;Cause tecniche;2008;26/01/2011;null;COMUNE DI MONTELLA;PIAZZA DEGLI IRPINI;40.8293773426193;15.009896651657
Campania;F65G10000000002;Regionale;COMUNE DI ALTAVILLA IRPINA;80010990648;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;LAVORI DI COMPLETAMENTO PARCO S. ANGELO - PISCINA CON SPOGLIATOI - REALIZZAZIONE COPERTURA;COMPLETAMENTO PISCINA - REALIZZAZIONE COPERTURA;Mq;900;12;IMPIANTI SPORTIVI;98;IMPIANTI SPORTIVI;45261000-4;No;297000;232022;211910.17;No;null;91.33;N;null;297;297;Regionale;Fallimento liq. coatta;2010;19/01/2010;null;IMPIANTI SPORTIVI PARCO S. ANGELO;LOC. S. ANGELO ALTAVILLA IRPINA;41.0004155266287;14.7870171778236
Campania;I49J05000070002;Regionale;COMUNE DI MONTELLA;235250644;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;ALTRO;Regionale;RIQUALIFICAZIONE DEL VIALE SAN FRANCESCO 1??? LOTTO FUNZIONALE;RIQUALIFICAZIONE DEL VIALE SAN FRANCESCO 1??? LOTTO;Ml;1400;1;STRADE REGIONALI, PROVINCIALI E COMUNALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;null;No;402062;333538.27;333538.27;Si;68523.73;82.96;null;null;540.74;540.74;Regionale;Cause tecniche;2005;14/03/2006;null;null;null;40.8293773426193;15.009896651657
Campania;D62B09000320002;Regionale;COMUNE DI SOLOFRA;91910646;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;COMPLETAMENTO DI MANUTENZIONE STRAORDINARIA;Regionale;Lavori di adeguamento statico e completamento funzionale del Palazzo Ducale Orsini a struttura museale,ricettiva congressuale di eccellenza.;ADEGUAMENTO STATICO E COMPLETAMENTO FUNZIONALE A STRUTTURA MUSEALE E RICETTIVA CONGRESSUALE DI ECCELLENZA;Mq;4000;11;MUSEI ARCHIVI E BIBLIOTECHE;97;MUSEI ARCHIVI E BIBLIOTECHE;null;No;2000000;1562480.32;1562480.32;Si;1562437.41;50;N;null;2000;2000;Regionale;Mancanza fondi;2009;09/03/2010;null;PALAZZO DUCALE ORSINI;PIAZZA SAN MICHELE 5;40.8267744068158;14.8459162929462
Campania;J84E16000120005;Regionale;Comune di Benevento - Settore OO.PP.;74270620;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;AMPLIAMENTO;Regionale;ASSE VIARIO INTERQUARTIERE TRA AREA STADIO E RIONE MELLUSI;COMPLETAMENTO ASSE VIARIO INTERQUARTIERE TRA AREA STADIO E RIONE MELLUSI;Mq;15000;1;STRADE REGIONALI, PROVINCIALI E COMUNALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;null;No;20000000;10000000;10000000;Si;10000000;50;N;null;10000;10000;Altro;Mancanza fondi,Soprav. Nuove norme;2016;30/03/2016;null;COMPLETAMENTO ASSE VIARIO INTERQUARTIERE TRA AREA STADIO E RIONE MELLUSI;ASSE INTERQUARTIERE;41.149128542316;14.7828885063194
Campania;J84E16000140001;Regionale;Comune di Benevento - Settore OO.PP.;74270620;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;AMPLIAMENTO;Regionale;ASSE VIARIO DI SUPPORTO INDUSTRIALE ALLE CONTRADE OLIVOLA - ROSETO - SAN VITALE;COMPLETAMENTO ASSE VIARIO DI SUPPORTO INDUSTRIALE ALLE CONTRADE OLIVOLA - ROSETO - SAN VITALE;Mq;10000;1;STRADE REGIONALI, PROVINCIALI E COMUNALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;null;No;6000000;3000000;3000000;Si;3000000;50;N;null;3000;3000;Statale;Mancanza fondi;2016;30/03/2016;null;COMPLETAMENTO ASSE VIARIO DI SUPPORTO INDUSTRIALE ALLE CONTRADE OLIVOLA - ROSETO - SAN VITALE;OLIVOLA - ROSETO - SAN VITALE;41.149128542316;14.7828885063194
Campania;J85C08000120006;Regionale;Comune di Benevento - Settore OO.PP.;74270620;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;PIAZZA DUOMO II LOTTO - COMPLETAMENTO (ALLESTIMENTO INTERNO, FINITURE E IMPIANTI) DI UNA STRUTTURA MUSEALE ESPOSITIVA;COMPLETAMENTO (ALLESTIMENTO INTERNO, FINITURE E IMPIANTI) - II LOTTO;Mq;1500;11;MUSEI ARCHIVI E BIBLIOTECHE;97;MUSEI ARCHIVI E BIBLIOTECHE;null;No;13164568.99;13164568.99;5164568.99;Si;8000000;24.4;N;null;7542;7542;null;Mancanza fondi;2008;19/05/2009;null;STRUTTURA MUSEALE ESPOSITIVA;PIAZZA DUOMO;41.149128542316;14.7828885063194
Campania;H15I15000050001;Regionale;COMUNE DI MONTESANO SULLA MARCELLANA;83002290654;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;COMPLETAMENTO DI RECUPERO;Regionale;Completamento Scuola Media Capoluogo;OPERE DI COMPLETAMENTO;Mq;2840;8;EDILIZIA SCOLASTICA;86;EDILIZIA SCOLASTICA;null;No;1935266.54;1511758.17;666393;Si;1268873.54;23.97;N;null;305.49;305.49;Statale;Mancanza fondi;2015;24/11/2015;null;COMPLETAMENTO SCUOLA MEDIA MONTESANO CAPOLUOGO.;VIA PILA;40.2646100329554;15.7260013179045
Campania;J84E16000130001;Regionale;Comune di Benevento - Settore OO.PP.;74270620;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;AMPLIAMENTO;Regionale;ASSE VIARIO INTERQUARTIERE NORD-EST;COMPLETAMENTO ASSE VIARIO INTERQUARTIERE NORD-EST;Mq;10000;1;STRADE REGIONALI, PROVINCIALI E COMUNALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;null;No;5000000;5000000;1000000;Si;4000000;11.11;N;null;4000;4000;Statale;Mancanza fondi,Soprav. Nuove norme;2016;30/03/2016;null;COMPLETAMENTO ASSE VIARIO INTERQUARTIERE NORD-EST;ASSE INTERQUARTIERE;41.149128542316;14.7828885063194
Umbria;I75D01000010001;Regionale;Regione Umbria;null;null;b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;null;null;Lavori di riparazione e miglioramento sismico immobile di propriet??? regionale siti in Assisi, loc. Bandita Cilleni;null;null;null;null;ALTRO;null;ALTRO;null;null;1681126.66;1304906.97;1121123.48;null;0;85.9;null;null;null;null;null;Fallimento liq. coatta;null;null;null;null;null;43.0861871343821;12.6252691320097
Campania;J82I06000050006;Regionale;Comune di Benevento - Settore OO.PP.;74270620;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;RECUPERO;Regionale;PARCO ARCHEOLOGICO E DEL VERDE - ANFITEATRO;SCAVI ARCHEOLOGICI NELL'AREA DELL'ANFITEATRO E RIQUALIFICAZIONE STRUTTURE DI ARCHEOLOGIA INDUSTRIALE CON FUNZIONI DI SUPPORTO AL PARCO ARCHEOLOGICO;Mq;2000;11;INTERVENTI IN AREE ARCHEOLOGICHE;95;INTERVENTI IN AREE ARCHEOLOGICHE;null;No;5250000;5250000;250000;Si;5000000;2.44;N;null;5250;5250;null;Mancanza fondi;2006;11/03/2009;null;PARCO ARCHEOLOGICO E DEL VERDE (ANFITEATRO);VIA APPIA ANTICA;41.149128542316;14.7828885063194
Campania;B76G15001870007;Regionale;COMUNE DI CASALVELINO;84001610652;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;lottizzazione oleandri marina di casal velino opere di urbanizzazione da realizzarsi da parte di privati a scomputo oneri di urbanizzazione;OPERE DI URBANIZZAZIONE A SCOMPUTO PRIVATI STRADE GIARDINI PARCHEGGI;Mq;7142;1;STRADE REGIONALI, PROVINCIALI E COMUNALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;null;No;138000;80000;0;Si;138000;0;null;null;138;0;Privato;Fallimento liq. coatta;2015;31/03/2016;null;OPERE DI URBANZZAZIONE OLEANDRI;VIA OLEANDRI;40.2052582290138;15.1290679495292
Campania;B76G15001860007;Regionale;COMUNE DI CASALVELINO;84001610652;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;lottizzazione polito edil marina opere di urbanizzaizone a scomputo;COMPLETAMENTO STRADE, MARCIAPIEDE, OPERE URBANIZZAZIONE;Mq;5000;1;STRADE REGIONALI, PROVINCIALI E COMUNALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;45233000-9;No;100000;80000;0;Si;100000;0;null;null;100;0;Privato;Fallimento liq. coatta;2015;31/03/2016;31/12/2015;LOTTIZZAZIONE POLITO EDIL MARINA;VIA PALINURO;40.2052582290138;15.1290679495292
Campania;I28G05000070005;Regionale;Comune di Sarno;80020270650;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;Piazza ex Campo Sportivo. Opere II stralcio funzionale. Completamento Teatro.;Realizzazione teatro;Mq;1000;12;TEATRI ED  STRUTTURE PER LO SPETTACOLO;100;TEATRI ED  STRUTTURE PER LO SPETTACOLO;45000000-7;No;4819370.77;3745852.33;3343293;Si;627959.78;76.44;null;null;5000;5000;Altro;Fallimento liq. coatta;2005;22/11/2005;null;null;null;40.8181381693594;14.6232462553511
Campania;B75G08000090006;Regionale;COMUNE DI CASALVELINO;84001610652;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;Completamento impianto sportivo e piscina comprensoriale;COMPLETAMENTO IMPIANTO SPORTIVO POLIVALENTE-PISCINA CAMPO CALCIO;ne;1;12;IMPIANTI SPORTIVI;98;IMPIANTI SPORTIVI;45400000-1;No;2000000;1399200.74;1400000;Si;600000;70.03;N;null;2600;2600;null;Mancanza fondi;2008;15/05/2009;null;IMPIANTO POLIVALENTE ARDISANI;VIA ARDISANI;40.2052582290138;15.1290679495292
Campania;I74E13000270004;Regionale;COMUNE DI MONTELLA;235250644;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;AMPLIAMENTO;Regionale;RIFUNZIONALIZZAZIONE RETE IDRICA- FOGNARIA E RIQUALIFICAZIONE LOCALITA??? PRATI 1??? STRALCIO;RIFUNZIONALIZZAZIONE RETE IDRICA - FOGNARIA E RIQUALIFICAZIONE LOCALITA' PRATI;Ml;750;1;STRADE RURALI;15;STRADE RURALI;null;No;195141.43;116153.26;116153.26;Si;78988.17;59.52;N;null;436.01;436.01;Comunale;Cause tecniche;2013;13/02/2014;null;STRADA RURALE LOCALIT? PRATI;PRATI;40.8293773426193;15.009896651657
Campania;D69D11000010007;Regionale;COMUNE DI SOLOFRA;91910646;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;NUOVA REALIZZAZIONE;Regionale;Programma di riqualificazione urbana per alloggi a canone sostenibile-Solofra.;PROGRAMMA DI RIQUALIFICAZIONE URBANA PER ALLOGGI A CANONE SOSTENIBILE;vn;40;99;OPERE DI EDILIZIA PUBBLICA;999;OPERE DI EDILIZIA PUBBLICA;null;No;2607762.08;2056000;2056000;Si;1799676;53.32;N;null;2607.76;2607.76;Statale,Regionale,Comunale;Cause tecniche;2011;14/02/2011;null;ALLOGGI COMUNALI;VIA XII APOSTOLI;40.8267744068158;14.8459162929462
Campania;D67H13001750002;Regionale;COMUNE DI SOLOFRA;91910646;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;NUOVA REALIZZAZIONE;Regionale;Efficientamento energetico Scuole Primarie di via Casapapa e di Via Fratta;INTERVENTI DI EFFICIENTAMENTO ENERGETICO DEGLI EDIFICI SCUOLE PRIMARIE DI VIA CASAPAPA E DI VIA FRATTA;na;30;6;IMPIANTI PRODUZIONE ENERGIE RINNOVABILI E ALTERNATIVE;998;IMPIANTI PRODUZIONE ENERGIE RINNOVABILI E ALTERNATIVE;null;No;1823994.9;1266081;713485;Si;113000;51.74;N;null;1824;1824;Regionale;Mancanza fondi;2013;15/10/2013;null;SCUOLE;VIA CASAPAPA E FRATTA;40.8267744068158;14.8459162929462
Campania;I54H08000000002;Regionale;COMUNE DI ROCCAGLORIOSA;84001770654;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;RESTAURO;Regionale;lavori di RESTAURO ARCHITETTONICO  DEL PALAZZO DE CURTIS;RESTAURO ARCHITETTONICO;Mq;750;99;OPERE DI EDILIZIA PUBBLICA;999;OPERE DI EDILIZIA PUBBLICA;null;No;1251967.89;818998.2;562978.08;Si;900000;32.75;N;null;1125;1125;Regionale;Mancanza fondi;2008;04/11/2008;null;"PALAZZO ""DE CURTIS""";VIA FILIPPO DE CARO;40.1208532812156;15.4428848600259
Campania;B76G15001880001;Regionale;COMUNE DI CASALVELINO;84001610652;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);a) i lavori di realizzazione, avviati, risultano interrotti oltre il termine contrattualmente...;COMPLETAMENTO DI NUOVA REALIZZAZIONE;Regionale;opere di urbanizzazione a scomputo lottizzazione di vece vallo scalo;COMPLETAMENTO LOTTIZZAZOINE EDILIZIA E OPERE A SCOUMPOTO;Mq;5000;1;STRADE REGIONALI, PROVINCIALI E COMUNALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;null;No;1000000;700000;0;Si;1500000;0;N;null;1500;1500;Statale;Fallimento liq. coatta;2015;31/03/2016;null;LOTTIZZAZIONE DI VECE VALLO SCALO;VIA VALLO SCALO;40.2052582290138;15.1290679495292
Veneto;E31B05000310005;Regionale;COMUNE DI CAMPOLONGO MAGGIORE;661260273;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;NUOVA REALIZZAZIONE;Regionale;VARIANTE ALLA S.P. 14 - CIRCONVALLAZIONE AL CENTRO DI BOJON;VARIANTE ALLA S.P. 14 - CIRCONVALLAZIONE AL CENTRO DI BOJON;Ml;3000;1;STRADE REGIONALI, PROVINCIALI E COMUNALI;13;STRADE REGIONALI, PROVINCIALI E COMUNALI;null;No;7230000;5400000;5400000;No;null;100;null;null;200;200;Altro;Mancanza fondi,Mancato interesse;2005;04/11/2005;null;null;null;45.3362467744903;12.0579517978445
Veneto;D24B01000350004;Regionale;COMUNE DI PIANIGA;90000660275;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);c) i lavori di realizzazione, ultimati, non sono stati collaudati nel termine previsto...;NUOVA REALIZZAZIONE;Regionale;COSTRUZIONE TRIBUNE INTERNE PALESTRE DI PIANIGA E CAZZAGO;REALIZZAZIONE TRIBUNE INTERNE PALESTRE DI PIANIGA E CAZZAGO;nps;386;12;IMPIANTI SPORTIVI;98;IMPIANTI SPORTIVI;null;No;510000;394150;381390.5;No;null;96.76;N;null;510;510;Comunale;Cause tecniche,Fallimento liq. coatta;2001;30/09/2013;30/09/2013;TRIBUNE INTERNE PALESTRE DI PIANIGA E CAZZAGO;PIAZZA SAN MARTINO 1;45.4547445708578;12.02999384146
Veneto;F59B12000080004;Regionale;COMUNE DI SCHIO;402150247;REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA);b) i lavori di realizzazione, avviati, risultano interrotti entro il termine previsto...;NUOVA REALIZZAZIONE;Regionale;Realizzazione nuova palestra scolastica e di quartiere in via Giavenale di Sopra;REALIZZAZIONE NUOVA PALESTRA SCOLASTICA E DI QUARTIERE IN VIA GIAVENALE DI SOPRA.;Mq;1056;12;IMPIANTI SPORTIVI;98;IMPIANTI SPORTIVI;45212222-8;No;1800000;1268372.92;1208656.16;No;null;95.29;N;null;1800;1800;Comunale;Fallimento liq. coatta;2012;15/10/2012;14/06/2017;VIA GIAVENALE DI SOPRA;VIA GIAVENALE DI SOPRA;45.7261596351611;11.3493311044381
